"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-10-31,79021,"48158","MI","Ann Arbor","Washtenaw","Manchester",8295,212100,0.00188946622579121,0.0104811815150071,0.031113271754983,0.053298519714327,-0.00378605397984921,"2005-03","2005-Q1",223600,-0.0514311270125224,"2003-11"
2015-10-31,61013,"08221","NJ","Atlantic City","Atlantic","Linwood",8296,239800,-0.00621632822213013,-0.0164068908941756,-0.067651632970451,-0.0491351310301517,-0.0434462659909495,"2006-07","2006-Q3",388600,-0.38291302110139,"2003-03"
2015-10-31,85081,"61616","IL","Peoria","Peoria","Peoria Heights",8297,70400,-0.00564971751412429,-0.00984528832630099,-0.0167597765363128,-0.0144121161556827,-0.00210607925257733,"2009-09","2009-Q3",76300,-0.0773263433813893,"2004-07"
2015-10-31,80537,"50707","IA","Waterloo","Black Hawk","Evansdale",8298,94800,-0.00210526315789474,-0.00105374077976818,0.00530222693531283,0.00384134233711841,0.00599468879708698,"2014-01","2014-Q1",96700,-0.0196483971044467,"2013-09"
2015-10-31,88590,"70435","LA","New Orleans","Saint Tammany","Covington",8299,193900,0.0036231884057971,0.0151832460732984,-0.0396235760277365,-0.029830219613931,,"2010-01","2010-Q1",249600,-0.223157051282051,
2015-10-31,100196,"99338","WA","Kennewick","Benton","Kennewick",8300,294400,0.0078740157480315,0.0254266805990944,0.166402535657686,0.0611532233136696,0.043183136290933,"2015-10","2015-Q4",294400,0,"2015-10"
2015-10-31,63793,"14870","NY","Corning","Steuben","Gang Mills",8301,118800,0.00848896434634975,0.0214961306964746,0.0541259982253771,0.0169948658482557,0.02964918976058,"2013-01","2013-Q1",123700,-0.0396119644300728,"2012-05"
2015-10-31,72946,"33981","FL","Punta Gorda","Charlotte","Port Charlotte",8302,207500,-0.0109628217349857,-0.0142517814726841,0.0630122950819672,0.0878479525692255,-0.0296944319934648,"2005-12","2005-Q4",286700,-0.276246948029299,"2004-08"
2015-10-31,84850,"61240","IL","Davenport","Rock Island","Coal Valley",8303,175700,0.0051487414187643,0.0250875145857643,0.0508373205741627,0.0281887678115991,0.0166880205500033,"2015-10","2015-Q4",175700,0,"2015-10"
2015-10-31,65856,"19317","PA","Philadelphia","Delaware","Chadds Ford Township",8304,436100,0.00183781300252699,0.0118329466357309,0.00902360018509949,0.0172790468393382,0.000160655508541607,"2007-05","2007-Q2",461700,-0.0554472601256227,"2005-11"
